ubg0:0 lbg0:0
ubg993:0.0002 lbg993:0.0001
ubg994:0.0002 lbg994:0.0001
ubg995:10000 lbg995:0
ubg996:0 lbg996:0
ubg997:0.0002 lbg997:0.0001
ubg998:0.0002 lbg998:0.0001
ubg999:10000 lbg999:0
ubg1000:0 lbg1000:0
ubg1001:0.0002 lbg1001:0.0001
ubg1002:0.0002 lbg1002:0.0001
ubg1003:10000 lbg1003:0
ubg1004:0 lbg1004:0
ubg1005:0.0002 lbg1005:0.0001
ubg1006:0.0002 lbg1006:0.0001
ubg1007:10000 lbg1007:0
ubg1008:0 lbg1008:0
ubg1009:0.0002 lbg1009:0.0001
ubg1010:0.0002 lbg1010:0.0001
ubg1011:10000 lbg1011:0
ubg1012:0 lbg1012:0
ubg1013:0.0002 lbg1013:0.0001
ubg1014:0.0002 lbg1014:0.0001
ubg1015:10000 lbg1015:0
ubg1016:0 lbg1016:0
ubg1017:0.0002 lbg1017:0.0001
ubg1018:0.0002 lbg1018:0.0001
ubg1019:10000 lbg1019:0
ubg1020:0 lbg1020:0
ubg1021:0.0002 lbg1021:0.0001
ubg1022:0.0002 lbg1022:0.0001
ubg1023:10000 lbg1023:0
ubg1024:0 lbg1024:0
ubg1025:0.0002 lbg1025:0.0001
ubg1026:0.0002 lbg1026:0.0001
ubg1027:10000 lbg1027:0
ubg1028:0 lbg1028:0
ubg1029:0.0002 lbg1029:0.0001
ubg1030:0.0002 lbg1030:0.0001
ubg1031:10000 lbg1031:0
ubg1032:0 lbg1032:0
ubg1033:0.0002 lbg1033:0.0001
ubg1034:0.0002 lbg1034:0.0001
ubg1035:10000 lbg1035:0
ubg1036:0 lbg1036:0
ubg1037:0.0002 lbg1037:0.0001
ubg1038:0.0002 lbg1038:0.0001
ubg1039:10000 lbg1039:0
ubg1040:0 lbg1040:0
ubg1041:0.0002 lbg1041:0.0001
ubg1042:0.0002 lbg1042:0.0001
ubg1043:10000 lbg1043:0
ubg1044:0 lbg1044:0
ubg1045:0.0002 lbg1045:0.0001
ubg1046:0.0002 lbg1046:0.0001
ubg1047:10000 lbg1047:0
ubg1048:0 lbg1048:0
ubg1049:0.0002 lbg1049:0.0001
ubg1050:0.0002 lbg1050:0.0001
ubg1051:10000 lbg1051:0
ubg1052:0 lbg1052:0
ubg1053:0.0002 lbg1053:0.0001
ubg1054:0.0002 lbg1054:0.0001
ubg1055:10000 lbg1055:0
ubg1056:0 lbg1056:0
ubg1057:0.0002 lbg1057:0.0001
ubg1058:0.0002 lbg1058:0.0001
ubg1059:10000 lbg1059:0
ubg1060:0 lbg1060:0
ubg1061:0.0002 lbg1061:0.0001
ubg1062:0.0002 lbg1062:0.0001
ubg1063:10000 lbg1063:0
ubg1064:0 lbg1064:0
ubg1065:0.0002 lbg1065:0.0001
ubg1066:0.0002 lbg1066:0.0001
ubg1067:10000 lbg1067:0
ubg1068:0 lbg1068:0
ubg1069:0.0002 lbg1069:0.0001
ubg1070:0.0002 lbg1070:0.0001
ubg1071:10000 lbg1071:0
ubg1072:0 lbg1072:0
ubg1073:0.0002 lbg1073:0.0001
ubg1074:0.0002 lbg1074:0.0001
ubg1075:10000 lbg1075:0
ubg1076:0 lbg1076:0
ubg1077:0.0002 lbg1077:0.0001
ubg1078:0.0002 lbg1078:0.0001
ubg1079:10000 lbg1079:0
ubg1080:0 lbg1080:0
ubg1081:0.0002 lbg1081:0.0001
ubg1082:0.0002 lbg1082:0.0001
ubg1083:10000 lbg1083:0
ubg1084:0 lbg1084:0
ubg1085:0.0002 lbg1085:0.0001
ubg1086:0.0002 lbg1086:0.0001
ubg1087:10000 lbg1087:0
ubg1088:0 lbg1088:0
ubg1089:0.0002 lbg1089:0.0001
ubg1090:0.0002 lbg1090:0.0001
ubg1091:10000 lbg1091:0
ubg1092:0 lbg1092:0
ubg1093:0.0002 lbg1093:0.0001
ubg1094:0.0002 lbg1094:0.0001
ubg1095:10000 lbg1095:0
ubg1096:0 lbg1096:0
ubg1097:0.0002 lbg1097:0.0001
ubg1098:0.0002 lbg1098:0.0001
ubg1099:10000 lbg1099:0
ubg1100:0 lbg1100:0
ubg1101:0.0002 lbg1101:0.0001
ubg1102:0.0002 lbg1102:0.0001
ubg1103:10000 lbg1103:0
ubg1104:0 lbg1104:0
ubg1105:0.0002 lbg1105:0.0001
ubg1106:0.0002 lbg1106:0.0001
ubg1107:10000 lbg1107:0
ubg1108:0 lbg1108:0
ubg1109:0.0002 lbg1109:0.0001
ubg1110:0.0002 lbg1110:0.0001
ubg1111:10000 lbg1111:0
ubg1112:0 lbg1112:0
ubg1113:0.0002 lbg1113:0.0001
ubg1114:0.0002 lbg1114:0.0001
ubg1115:10000 lbg1115:0
ubg1116:0 lbg1116:0
ubg1117:0.0002 lbg1117:0.0001
ubg1118:0.0002 lbg1118:0.0001
ubg1119:10000 lbg1119:0
ubg1120:0 lbg1120:0
ubg1121:0.0002 lbg1121:0.0001
ubg1122:0.0002 lbg1122:0.0001
ubg1123:10000 lbg1123:0
ubg1124:0 lbg1124:0
ubg1125:0.0002 lbg1125:0.0001
ubg1126:0.0002 lbg1126:0.0001
ubg1127:10000 lbg1127:0
ubg1128:0 lbg1128:0
ubg1129:0.0002 lbg1129:0.0001
ubg1130:0.0002 lbg1130:0.0001
ubg1131:10000 lbg1131:0
ubg1132:0 lbg1132:0
ubg1133:55.8326 lbg1133:55.8325
ubg1134:55.8326 lbg1134:55.8325
ubg1135:10000 lbg1135:0
ubg1136:0 lbg1136:0
ubg1137:111.627 lbg1137:111.627
ubg1138:111.627 lbg1138:111.627
ubg1139:10000 lbg1139:0
ubg1140:0 lbg1140:0
ubg1141:167.382 lbg1141:167.382
ubg1142:167.382 lbg1142:167.382
ubg1143:10000 lbg1143:0
ubg1144:0 lbg1144:0
ubg1145:223.099 lbg1145:223.099
ubg1146:223.099 lbg1146:223.099
ubg1147:10000 lbg1147:0
ubg1148:0 lbg1148:0
ubg1149:292.703 lbg1149:292.703
ubg1150:292.703 lbg1150:292.703
ubg1151:10000 lbg1151:0
ubg1152:0 lbg1152:0
ubg1153:362.253 lbg1153:362.253
ubg1154:362.253 lbg1154:362.253
ubg1155:10000 lbg1155:0
ubg1156:0 lbg1156:0
ubg1157:431.748 lbg1157:431.747
ubg1158:431.748 lbg1158:431.747
ubg1159:10000 lbg1159:0
ubg1160:0 lbg1160:0
ubg1161:501.188 lbg1161:501.188
ubg1162:501.188 lbg1162:501.188
ubg1163:10000 lbg1163:0
ubg1164:0 lbg1164:0
ubg1165:459.412 lbg1165:459.412
ubg1166:459.412 lbg1166:459.412
ubg1167:10000 lbg1167:0
ubg1168:0 lbg1168:0
ubg1169:417.638 lbg1169:417.638
ubg1170:417.638 lbg1170:417.638
ubg1171:10000 lbg1171:0
ubg1172:0 lbg1172:0
ubg1173:375.866 lbg1173:375.866
ubg1174:375.866 lbg1174:375.866
ubg1175:10000 lbg1175:0
ubg1176:0 lbg1176:0
ubg1177:334.096 lbg1177:334.096
ubg1178:334.096 lbg1178:334.096
ubg1179:10000 lbg1179:0
ubg1180:0 lbg1180:0
ubg1181:403.587 lbg1181:403.586
ubg1182:403.587 lbg1182:403.586
ubg1183:10000 lbg1183:0
ubg1184:0 lbg1184:0
ubg1185:473.038 lbg1185:473.038
ubg1186:473.038 lbg1186:473.038
ubg1187:10000 lbg1187:0
ubg1188:0 lbg1188:0
ubg1189:542.451 lbg1189:542.451
ubg1190:542.451 lbg1190:542.451
ubg1191:10000 lbg1191:0
ubg1192:0 lbg1192:0
ubg1193:611.825 lbg1193:611.825
ubg1194:611.825 lbg1194:611.825
ubg1195:10000 lbg1195:0
ubg1196:0 lbg1196:0
ubg1197:917.085 lbg1197:917.085
ubg1198:917.085 lbg1198:917.085
ubg1199:10000 lbg1199:0
ubg1200:0 lbg1200:0
ubg1201:1221.91 lbg1201:1221.91
ubg1202:1221.91 lbg1202:1221.91
ubg1203:10000 lbg1203:0
ubg1204:0 lbg1204:0
ubg1205:1526.3 lbg1205:1526.3
ubg1206:1526.3 lbg1206:1526.3
ubg1207:10000 lbg1207:0
ubg1208:0 lbg1208:0
ubg1209:1830.25 lbg1209:1830.25
ubg1210:1830.25 lbg1210:1830.25
ubg1211:10000 lbg1211:0
ubg1212:0 lbg1212:0
ubg1213:1636.54 lbg1213:1636.54
ubg1214:1636.54 lbg1214:1636.54
ubg1215:10000 lbg1215:0
ubg1216:0 lbg1216:0
ubg1217:1442.73 lbg1217:1442.73
ubg1218:1442.73 lbg1218:1442.73
ubg1219:10000 lbg1219:0
ubg1220:0 lbg1220:0
ubg1221:1248.82 lbg1221:1248.82
ubg1222:1248.82 lbg1222:1248.82
ubg1223:10000 lbg1223:0
ubg1224:0 lbg1224:0
ubg1225:1054.82 lbg1225:1054.82
ubg1226:1054.82 lbg1226:1054.82
ubg1227:10000 lbg1227:0
ubg1228:0 lbg1228:0
ubg1229:902.228 lbg1229:902.228
ubg1230:902.228 lbg1230:902.228
ubg1231:10000 lbg1231:0
ubg1232:0 lbg1232:0
ubg1233:749.612 lbg1233:749.611
ubg1234:749.612 lbg1234:749.611
ubg1235:10000 lbg1235:0
ubg1236:0 lbg1236:0
ubg1237:596.967 lbg1237:596.967
ubg1238:596.967 lbg1238:596.967
ubg1239:10000 lbg1239:0
ubg1240:0 lbg1240:0
ubg1241:444.295 lbg1241:444.295
ubg1242:444.295 lbg1242:444.295
ubg1243:10000 lbg1243:0
ubg1244:0 lbg1244:0
ubg1245:333.345 lbg1245:333.345
ubg1246:333.345 lbg1246:333.345
ubg1247:10000 lbg1247:0
ubg1248:0 lbg1248:0
ubg1249:222.312 lbg1249:222.312
ubg1250:222.312 lbg1250:222.312
ubg1251:10000 lbg1251:0
ubg1252:0 lbg1252:0
ubg1253:111.197 lbg1253:111.197
ubg1254:111.197 lbg1254:111.197
ubg1255:10000 lbg1255:0
ubg1256:0 lbg1256:0
ubg1257:0.0002 lbg1257:0.0001
ubg1258:0.0002 lbg1258:0.0001
ubg1259:10000 lbg1259:0
ubg1260:0 lbg1260:0
ubg1261:0.0002 lbg1261:0.0001
ubg1262:0.0002 lbg1262:0.0001
ubg1263:10000 lbg1263:0
ubg1264:0 lbg1264:0
ubg1265:0.0002 lbg1265:0.0001
ubg1266:0.0002 lbg1266:0.0001
ubg1267:10000 lbg1267:0
ubg1268:0 lbg1268:0
ubg1269:0.0002 lbg1269:0.0001
ubg1270:0.0002 lbg1270:0.0001
ubg1271:10000 lbg1271:0
ubg1272:0 lbg1272:0
ubg1273:0.0002 lbg1273:0.0001
ubg1274:0.0002 lbg1274:0.0001
ubg1275:10000 lbg1275:0
ubg1276:0 lbg1276:0
ubg1277:0.0002 lbg1277:0.0001
ubg1278:0.0002 lbg1278:0.0001
ubg1279:10000 lbg1279:0
ubg1280:0 lbg1280:0
ubg1281:0.0002 lbg1281:0.0001
ubg1282:0.0002 lbg1282:0.0001
ubg1283:10000 lbg1283:0
ubg1284:0 lbg1284:0
ubg1285:0.0002 lbg1285:0.0001
ubg1286:0.0002 lbg1286:0.0001
ubg1287:10000 lbg1287:0
ubg1288:0 lbg1288:0
ubg1289:0.0002 lbg1289:0.0001
ubg1290:0.0002 lbg1290:0.0001
ubg1291:10000 lbg1291:0
ubg1292:0 lbg1292:0
ubg1293:0.0002 lbg1293:0.0001
ubg1294:0.0002 lbg1294:0.0001
ubg1295:10000 lbg1295:0
ubg1296:0 lbg1296:0
ubg1297:0.0002 lbg1297:0.0001
ubg1298:0.0002 lbg1298:0.0001
ubg1299:10000 lbg1299:0
ubg1300:0 lbg1300:0
ubg1301:0.0002 lbg1301:0.0001
ubg1302:0.0002 lbg1302:0.0001
ubg1303:10000 lbg1303:0
ubg1304:0 lbg1304:0
ubg1305:0.0002 lbg1305:0.0001
ubg1306:0.0002 lbg1306:0.0001
ubg1307:10000 lbg1307:0
ubg1308:0 lbg1308:0
ubg1309:0.0002 lbg1309:0.0001
ubg1310:0.0002 lbg1310:0.0001
ubg1311:10000 lbg1311:0
ubg1312:0 lbg1312:0
ubg1313:0.0002 lbg1313:0.0001
ubg1314:0.0002 lbg1314:0.0001
ubg1315:10000 lbg1315:0
ubg1316:0 lbg1316:0
ubg1317:0.0002 lbg1317:0.0001
ubg1318:0.0002 lbg1318:0.0001
ubg1319:10000 lbg1319:0
ubg1320:0 lbg1320:0
ubg1321:0.0002 lbg1321:0.0001
ubg1322:0.0002 lbg1322:0.0001
ubg1323:10000 lbg1323:0
ubg1324:0 lbg1324:0
ubg1325:0.0002 lbg1325:0.0001
ubg1326:0.0002 lbg1326:0.0001
ubg1327:10000 lbg1327:0
ubg1328:0 lbg1328:0
ubg1329:0.0002 lbg1329:0.0001
ubg1330:0.0002 lbg1330:0.0001
ubg1331:10000 lbg1331:0
ubg1332:0 lbg1332:0
ubg1333:0.0002 lbg1333:0.0001
ubg1334:0.0002 lbg1334:0.0001
ubg1335:10000 lbg1335:0
ubg1336:0 lbg1336:0
ubg1337:0.0002 lbg1337:0.0001
ubg1338:0.0002 lbg1338:0.0001
ubg1339:10000 lbg1339:0
ubg1340:0 lbg1340:0
ubg1341:0.0002 lbg1341:0.0001
ubg1342:0.0002 lbg1342:0.0001
ubg1343:10000 lbg1343:0
ubg1344:0 lbg1344:0
ubg1345:0.0002 lbg1345:0.0001
ubg1346:0.0002 lbg1346:0.0001
ubg1347:10000 lbg1347:0
ubg1348:0 lbg1348:0
ubg1349:0.0002 lbg1349:0.0001
ubg1350:0.0002 lbg1350:0.0001
ubg1351:10000 lbg1351:0
ubg1352:0 lbg1352:0
